O35643,AP1B1_MOUSE,AP-1 complex subunit beta-1 (Adaptor protein complex AP-1 subunit beta-1) (Adaptor-related protein complex 1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit)
O55017,CAC1B_MOUSE,"Voltage-dependent N-type calcium channel subunit alpha-1B (Brain calcium channel III) (BIII) (Calcium channel, L type, alpha-1 polypeptide isoform 5) (Voltage-gated calcium channel subunit alpha Cav2.2)"
O70263,LNX1_MOUSE,E3 ubiquitin-protein ligase LNX (EC 2.3.2.27) (Ligand of Numb protein X 1) (Ligand of Numb-binding protein 1) (Numb-binding protein 1) (RING-type E3 ubiquitin transferase LNX)
O70480,VAMP4_MOUSE,Vesicle-associated membrane protein 4 (VAMP-4)
O88643,PAK1_MOUSE,Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (CDC42/RAC effector kinase PAK-A) (p21-activated kinase 1) (PAK-1) (p65-PAK)
P04370,MBP_MOUSE,Myelin basic protein (MBP) (Myelin A1 protein)
P16054,KPCE_MOUSE,Protein kinase C epsilon type (EC 2.7.11.13) (nPKC-epsilon)
P26645,MARCS_MOUSE,Myristoylated alanine-rich C-kinase substrate (MARCKS)
P35803,GPM6B_MOUSE,Neuronal membrane glycoprotein M6-b (M6b)
P40749,SYT4_MOUSE,Synaptotagmin-4 (Synaptotagmin IV) (SytIV)
P41241,CSK_MOUSE,Tyrosine-protein kinase CSK (EC 2.7.10.2) (C-Src kinase) (Protein-tyrosine kinase MPK-2) (p50CSK)
P46938,YAP1_MOUSE,Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)
P47708,RP3A_MOUSE,Rabphilin-3A (Exophilin-1)
P47746,CNR1_MOUSE,Cannabinoid receptor 1 (CB-R) (CB1) (Brain-type cannabinoid receptor)
P48540,GDNF_MOUSE,Glial cell line-derived neurotrophic factor (mGDNF) (Astrocyte-derived trophic factor) (ATF)
P51859,HDGF_MOUSE,Hepatoma-derived growth factor (HDGF)
P58404,STRN4_MOUSE,Striatin-4 (Zinedin)
P62482,KCAB2_MOUSE,Voltage-gated potassium channel subunit beta-2 (EC 1.1.1.-) (K(+) channel subunit beta-2) (Kv-beta-2) (Neuroimmune protein F5)
P63101,1433Z_MOUSE,14-3-3 protein zeta/delta (Protein kinase C inhibitor protein 1) (KCIP-1) (SEZ-2)
P63318,KPCG_MOUSE,Protein kinase C gamma type (PKC-gamma) (EC 2.7.11.13)
P70425,RIT2_MOUSE,GTP-binding protein Rit2 (EC 3.6.5.2) (Ras-like protein expressed in neurons) (Ras-like without CAAX protein 2)
Q01097,NMDE2_MOUSE,"Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B)"
Q03147,CDK7_MOUSE,Cyclin-dependent kinase 7 (EC 2.7.11.22) (EC 2.7.11.23) (39 kDa protein kinase) (P39 Mo15) (CDK-activating kinase) (CR4 protein kinase) (CRK4) (Cell division protein kinase 7) (Protein-tyrosine kinase MPK-7) (TFIIH basal transcription factor complex kinase subunit)
Q1HFZ0,NSUN2_MOUSE,"RNA cytosine C(5)-methyltransferase NSUN2 (EC 2.1.1.-) (Myc-induced SUN domain-containing protein) (Misu) (NOL1/NOP2/Sun domain family member 2) (mRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-) (tRNA cytosine C(5)-methyltransferase) (EC 2.1.1.-, EC 2.1.1.203)"
Q3UJD6,UBP19_MOUSE,Ubiquitin carboxyl-terminal hydrolase 19 (EC 3.4.19.12) (Deubiquitinating enzyme 19) (Ubiquitin thioesterase 19) (Ubiquitin-specific-processing protease 19)
Q3V0F0,RIMB3_MOUSE,RIMS-binding protein 3 (RIM-BP3)
Q501J7,PHAR4_MOUSE,Phosphatase and actin regulator 4 (Protein Humpty dumpty) (Humdy)
Q5DTL9,S4A10_MOUSE,Sodium-driven chloride bicarbonate exchanger (Solute carrier family 4 member 10)
Q5DU02,UBP22_MOUSE,Ubiquitin carboxyl-terminal hydrolase 22 (EC 3.4.19.12) (Deubiquitinating enzyme 22) (Ubiquitin thioesterase 22) (Ubiquitin-specific-processing protease 22)
Q5H8C4,VP13A_MOUSE,Intermembrane lipid transfer protein VPS13A (Chorea-acanthocytosis protein homolog) (Chorein) (Vacuolar protein sorting-associated protein 13A)
Q5SNZ0,GRDN_MOUSE,Girdin (Akt phosphorylation enhancer) (APE) (Coiled-coil domain-containing protein 88A) (G alpha-interacting vesicle-associated protein) (GIV) (Girders of actin filament) (Hook-related protein 1) (HkRP1)
Q5SW75,SSH2_MOUSE,Protein phosphatase Slingshot homolog 2 (EC 3.1.3.16) (EC 3.1.3.48) (SSH-like protein 2) (SSH-2L) (mSSH-2L)
Q60817,NACA_MOUSE,Nascent polypeptide-associated complex subunit alpha (Alpha-NAC) (Alpha-NAC/1.9.2)
Q61548,AP180_MOUSE,Clathrin coat assembly protein AP180 (91 kDa synaptosomal-associated protein) (Clathrin coat-associated protein AP180) (Phosphoprotein F1-20)
Q62420,SH3G2_MOUSE,Endophilin-A1 (Endophilin-1) (SH3 domain protein 2A) (SH3 domain-containing GRB2-like protein 2) (SH3p4)
Q62448,IF4G2_MOUSE,Eukaryotic translation initiation factor 4 gamma 2 (eIF-4-gamma 2) (eIF-4G 2) (eIF4G 2) (Novel APOBEC-1 target 1) (Translation repressor NAT1) (p97)
Q63844,MK03_MOUSE,Mitogen-activated protein kinase 3 (MAP kinase 3) (MAPK 3) (EC 2.7.11.24) (ERT2) (Extracellular signal-regulated kinase 1) (ERK-1) (Insulin-stimulated MAP2 kinase) (MAP kinase isoform p44) (p44-MAPK) (MNK1) (Microtubule-associated protein 2 kinase) (p44-ERK1)
Q63932,MP2K2_MOUSE,Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)
Q64151,SEM4C_MOUSE,Semaphorin-4C (M-Sema F) (Semaphorin-C-like 1) (Sema I) (Semaphorin I)
Q64336,TBR1_MOUSE,T-box brain protein 1 (T-brain-1) (TBR-1) (TES-56)
Q68FD7,FNIP1_MOUSE,Folliculin-interacting protein 1
Q69ZS0,PZRN3_MOUSE,E3 ubiquitin-protein ligase PDZRN3 (EC 2.3.2.27) (PDZ domain-containing RING finger protein 3) (RING-type E3 ubiquitin transferase PDZRN3) (Semaphorin cytoplasmic domain-associated protein 3) (Protein SEMACAP3)
Q6KAS7,ZN521_MOUSE,Zinc finger protein 521 (Ecotropic viral integration site 3 protein)
Q6NVF4,HELB_MOUSE,DNA helicase B (EC 3.6.4.12)
Q6PD03,2A5A_MOUSE,Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform (PP2A B subunit isoform B'-alpha) (PP2A B subunit isoform B56-alpha) (PP2A B subunit isoform PR61-alpha) (PR61alpha) (PP2A B subunit isoform R5-alpha)
Q6PD21,SHB_MOUSE,SH2 domain-containing adapter protein B
Q7TMK9,HNRPQ_MOUSE,"Heterogeneous nuclear ribonucleoprotein Q (hnRNP Q) (Glycine- and tyrosine-rich RNA-binding protein) (GRY-RBP) (NS1-associated protein 1) (Synaptotagmin-binding, cytoplasmic RNA-interacting protein) (pp68)"
Q7TN99,CPEB3_MOUSE,Cytoplasmic polyadenylation element-binding protein 3 (CPE-BP3) (CPE-binding protein 3) (mCPEB-3)
Q7TPS5,C2CD5_MOUSE,C2 domain-containing protein 5 (138 kDa C2 domain-containing phosphoprotein)
Q7TQ95,LNP_MOUSE,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark) (Protein ulnaless)
Q80YA9,CNKR2_MOUSE,Connector enhancer of kinase suppressor of ras 2 (Connector enhancer of KSR 2) (CNK homolog protein 2) (CNK2)
Q8BGA3,LRRT2_MOUSE,Leucine-rich repeat transmembrane neuronal protein 2
Q8BH64,EHD2_MOUSE,EH domain-containing protein 2
Q8BKX6,SMG1_MOUSE,Serine/threonine-protein kinase SMG1 (SMG-1) (EC 2.7.11.1) (Lambda/iota protein kinase C-interacting protein) (Lambda-interacting protein) (Nonsense mediated mRNA decay-associated PI3K-related kinase SMG1)
Q8BP27,SFR1_MOUSE,Swi5-dependent recombination DNA repair protein 1 homolog (Meiosis protein 5 homolog)
Q8BPN8,DMXL2_MOUSE,DmX-like protein 2 (Rabconnectin-3)
Q8BR86,KIRR3_MOUSE,Kin of IRRE-like protein 3 (Kin of irregular chiasm-like protein 3) (Nephrin-like protein 2) (mKirre) [Cleaved into: Processed kin of IRRE-like protein 3]
Q8BX46,SKOR1_MOUSE,SKI family transcriptional corepressor 1 (Fussel-15 homolog) (Ladybird homeobox corepressor 1) (Lbx1 corepressor 1) (Transcriptional corepressor Corl1)
Q8BZB3,TM266_MOUSE,Transmembrane protein 266
Q8CHH9,SEPT8_MOUSE,Septin-8
Q8CIN6,CELF3_MOUSE,CUGBP Elav-like family member 3 (CELF-3) (Bruno-like protein 1) (CUG-BP- and ETR-3-like factor 3) (ELAV-type RNA-binding protein 1) (ETR-1) (RNA-binding protein BRUNOL-1) (Trinucleotide repeat-containing gene 4 protein)
Q8JZQ9,EIF3B_MOUSE,Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)
Q8R1N0,ZN830_MOUSE,Zinc finger protein 830 (Coiled-coil domain-containing protein 16) (Ovus mutant candidate gene 1 protein)
Q8VBY2,KKCC1_MOUSE,Calcium/calmodulin-dependent protein kinase kinase 1 (CaM-KK 1) (CaM-kinase kinase 1) (CaMKK 1) (EC 2.7.11.17) (CaM-kinase IV kinase) (Calcium/calmodulin-dependent protein kinase kinase alpha) (CaM-KK alpha) (CaM-kinase kinase alpha) (CaMKK alpha)
Q8VDN2,AT1A1_MOUSE,Sodium/potassium-transporting ATPase subunit alpha-1 (Na(+)/K(+) ATPase alpha-1 subunit) (EC 7.2.2.13) (Sodium pump subunit alpha-1)
Q8VHJ5,MARK1_MOUSE,Serine/threonine-protein kinase MARK1 (EC 2.7.11.1) (EC 2.7.11.26) (ELKL motif serine/threonine-protein kinase 3) (MAP/microtubule affinity-regulating kinase 1) (PAR1 homolog c) (Par-1c) (mPar-1c)
Q91Z31,PTBP2_MOUSE,Polypyrimidine tract-binding protein 2 (Brain-enriched polypyrimidine tract-binding protein) (Brain-enriched PTB) (Neural polypyrimidine tract-binding protein) (RRM-type RNA-binding protein brPTB)
Q923S6,NEUL1_MOUSE,E3 ubiquitin-protein ligase NEURL1 (EC 2.3.2.27) (Neuralized-like protein 1A) (m-neu1) (m-neuralized 1) (Neuralized1) (RING-type E3 ubiquitin transferase NEURL1)
Q99N50,SYTL2_MOUSE,Synaptotagmin-like protein 2 (Exophilin-4)
Q9CPN8,IF2B3_MOUSE,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (mIMP-3) (IGF-II mRNA-binding protein 3) (VICKZ family member 3)
Q9CQ22,LTOR1_MOUSE,Ragulator complex protein LAMTOR1 (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 1) (Lipid raft adaptor protein p18)
Q9CRD0,OCAD1_MOUSE,OCIA domain-containing protein 1
Q9EPK2,XRP2_MOUSE,Protein XRP2
Q9ERA6,TFP11_MOUSE,Tuftelin-interacting protein 11 (Septin and tuftelin-interacting protein 1) (STIP-1) (Tuftelin-interacting protein 39)
Q9ESE1,LRBA_MOUSE,Lipopolysaccharide-responsive and beige-like anchor protein (Beige-like protein)
Q9EST3,4ET_MOUSE,Eukaryotic translation initiation factor 4E transporter (4E-T) (eIF4E transporter) (CD40 ligand-activated specific transcript 4) (Eukaryotic translation initiation factor 4E nuclear import factor 1)
Q9JJT9,PHAX_MOUSE,Phosphorylated adapter RNA export protein (RNA U small nuclear RNA export adapter protein)
Q9QX96,SALL2_MOUSE,Sal-like protein 2 (Spalt-like protein 2) (Zinc finger protein Spalt-2) (Sal-2) (mSal-2)
Q9QXS6,DREB_MOUSE,Drebrin (Developmentally-regulated brain protein)
Q9QZX7,SRR_MOUSE,Serine racemase (EC 5.1.1.18) (D-serine ammonia-lyase) (D-serine dehydratase) (EC 4.3.1.18) (L-serine ammonia-lyase) (L-serine dehydratase) (EC 4.3.1.17)
Q9R0S3,MMP17_MOUSE,Matrix metalloproteinase-17 (MMP-17) (EC 3.4.24.-) (Membrane-type matrix metalloproteinase 4) (MT-MMP 4) (MTMMP4) (Membrane-type-4 matrix metalloproteinase) (MT4-MMP) (MT4MMP)
Q9WTK7,STK11_MOUSE,Serine/threonine-protein kinase STK11 (EC 2.7.11.1) (Liver kinase B1 homolog) (LKB1) (mLKB1)
Q9WV34,MPP2_MOUSE,MAGUK p55 subfamily member 2 (Discs large homolog 2) (Protein MPP2)
Q9Z0R4,ITSN1_MOUSE,Intersectin-1 (EH and SH3 domains protein 1)
Q9Z101,PAR6A_MOUSE,Partitioning defective 6 homolog alpha (PAR-6) (PAR-6 alpha) (PAR-6A)
O35226,PSMD4_MOUSE,26S proteasome non-ATPase regulatory subunit 4 (26S proteasome regulatory subunit RPN10) (26S proteasome regulatory subunit S5A) (Multiubiquitin chain-binding protein)
O89112,LANC1_MOUSE,Glutathione S-transferase LANCL1 (EC 2.5.1.18) (40 kDa erythrocyte membrane protein) (p40) (LanC-like protein 1)
P16283,B3A3_MOUSE,Anion exchange protein 3 (AE 3) (Anion exchanger 3) (Neuronal band 3-like protein) (Solute carrier family 4 member 3)
P27546,MAP4_MOUSE,Microtubule-associated protein 4 (MAP-4)
P28667,MRP_MOUSE,MARCKS-related protein (Brain protein F52) (MARCKS-like protein 1) (Macrophage myristoylated alanine-rich C kinase substrate) (Mac-MARCKS) (MacMARCKS)
P34152,FAK1_MOUSE,Focal adhesion kinase 1 (FADK 1) (EC 2.7.10.2) (Focal adhesion kinase-related nonkinase) (FRNK) (Protein-tyrosine kinase 2) (p125FAK) (pp125FAK)
P35283,RAB12_MOUSE,Ras-related protein Rab-12 (EC 3.6.5.2) (Rab-13)
P35831,PTN12_MOUSE,Tyrosine-protein phosphatase non-receptor type 12 (EC 3.1.3.48) (MPTP-PEST) (Protein-tyrosine phosphatase P19) (P19-PTP)
P50516,VATA_MOUSE,V-type proton ATPase catalytic subunit A (V-ATPase subunit A) (EC 7.1.2.2) (V-ATPase 69 kDa subunit) (Vacuolar proton pump subunit alpha)
P51954,NEK1_MOUSE,Serine/threonine-protein kinase Nek1 (EC 2.7.11.1) (Never in mitosis A-related kinase 1) (NimA-related protein kinase 1)
P59279,RAB2B_MOUSE,Ras-related protein Rab-2B (EC 3.6.5.2)
P61406,EST1A_MOUSE,Telomerase-binding protein EST1A (EC 3.1.-.-) (Ever shorter telomeres 1A) (Nonsense mediated mRNA decay factor SMG6) (Smg-6 homolog)
P62960,YBOX1_MOUSE,Y-box-binding protein 1 (YB-1) (CCAAT-binding transcription factor I subunit A) (CBF-A) (DNA-binding protein B) (DBPB) (Enhancer factor I subunit A) (EFI-A) (Nuclease-sensitive element-binding protein 1) (Y-box transcription factor)
P70257,NFIX_MOUSE,Nuclear factor 1 X-type (NF1-X) (Nuclear factor 1/X) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/X) (NF-I/X) (NFI-X) (TGGCA-binding protein)
P70699,LYAG_MOUSE,Lysosomal alpha-glucosidase (EC 3.2.1.20) (Acid maltase)
P97384,ANX11_MOUSE,Annexin A11 (Annexin XI) (Annexin-11) (Calcyclin-associated annexin 50) (CAP-50)
P97441,ZNT3_MOUSE,Probable proton-coupled zinc antiporter SLC30A3 (Solute carrier family 30 member 3) (Zinc transporter 3) (ZnT-3)
P97801,SMN_MOUSE,Survival motor neuron protein
P97863,NFIB_MOUSE,Nuclear factor 1 B-type (NF1-B) (Nuclear factor 1/B) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/B) (NF-I/B) (NFI-B) (TGGCA-binding protein)
P98084,APBA2_MOUSE,Amyloid-beta A4 precursor protein-binding family A member 2 (Adapter protein X11beta) (Neuron-specific X11L protein) (Neuronal Munc18-1-interacting protein 2) (Mint-2)
Q01065,PDE1B_MOUSE,"Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)"
Q03141,MARK3_MOUSE,MAP/microtubule affinity-regulating kinase 3 (EC 2.7.11.1) (ELKL motif kinase 2) (EMK-2) (MPK-10)
Q2PFD7,PSD3_MOUSE,PH and SEC7 domain-containing protein 3 (Exchange factor for ADP-ribosylation factor guanine nucleotide factor 6 D) (Exchange factor for ARF6 D) (Pleckstrin homology and SEC7 domain-containing protein 3)
Q3TCN2,PLBL2_MOUSE,Putative phospholipase B-like 2 (EC 3.1.1.-) (66.3 kDa protein) (76 kDa protein) (p76) (LAMA-like protein 2) (Lamina ancestor homolog 2) (Phospholipase B domain-containing protein 2) [Cleaved into: Putative phospholipase B-like 2 28 kDa form; Putative phospholipase B-like 2 40 kDa form; Putative phospholipase B-like 2 15 kDa form]
Q3U1J4,DDB1_MOUSE,DNA damage-binding protein 1 (DDB p127 subunit) (Damage-specific DNA-binding protein 1) (UV-damaged DNA-binding factor)
Q52KR3,PRUN2_MOUSE,Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1)
Q5DU14,MYO16_MOUSE,Unconventional myosin-XVI (Neuronal tyrosine-phosphorylated phosphoinositide-3-kinase adapter 3) (Unconventional myosin-16)
Q5DU57,SPT13_MOUSE,Spermatogenesis-associated protein 13 (APC-stimulated guanine nucleotide exchange factor 2) (Asef2)
Q5GH67,XKR4_MOUSE,"XK-related protein 4 [Cleaved into: XK-related protein 4, processed form]"
Q5U4E0,LHPL4_MOUSE,LHFPL tetraspan subfamily member 4 protein (GABAA receptor regulatory Lhfpl4) (Lipoma HMGIC fusion partner-like 4 protein)
Q5XJV6,LMTK3_MOUSE,Serine/threonine-protein kinase LMTK3 (EC 2.7.11.1) (Apoptosis-associated tyrosine kinase 3) (Lemur tyrosine kinase 3)
Q60902,EP15R_MOUSE,Epidermal growth factor receptor substrate 15-like 1 (Epidermal growth factor receptor pathway substrate 15-related sequence) (Eps15-rs) (Eps15-related protein) (Eps15R)
Q61699,HS105_MOUSE,Heat shock protein 105 kDa (42 degrees C-HSP) (Heat shock 110 kDa protein) (Heat shock-related 100 kDa protein E7I) (HSP-E7I)
Q62018,CTR9_MOUSE,"RNA polymerase-associated protein CTR9 homolog (SH2 domain-binding protein 1) (Tetratricopeptide repeat-containing, SH2-binding phosphoprotein of 150 kDa) (TPR-containing, SH2-binding phosphoprotein of 150 kDa) (p150TSP)"
Q62188,DPYL3_MOUSE,Dihydropyrimidinase-related protein 3 (DRP-3) (Unc-33-like phosphoprotein 1) (ULIP-1)
Q62233,SIX3_MOUSE,Homeobox protein SIX3 (Sine oculis homeobox homolog 3)
Q64337,SQSTM_MOUSE,Sequestosome-1 (STONE14) (Ubiquitin-binding protein p62)
Q69Z66,MYSM1_MOUSE,"Deubiquitinase MYSM1 (2A-DUB) (EC 3.4.19.-) (Myb-like, SWIRM and MPN domain-containing protein 1)"
Q69ZS6,SV2C_MOUSE,Synaptic vesicle glycoprotein 2C (Synaptic vesicle protein 2C)
Q6NS82,RETR2_MOUSE,Reticulophagy regulator 2
Q6NWV3,IF122_MOUSE,Intraflagellar transport protein 122 homolog (WD repeat-containing protein 10)
Q6PDG5,SMRC2_MOUSE,SWI/SNF complex subunit SMARCC2 (BRG1-associated factor 170) (BAF170) (SWI/SNF complex 170 kDa subunit) (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily C member 2)
Q6VNB8,WDFY3_MOUSE,"WD repeat and FYVE domain-containing protein 3 (Beach domain, WD repeat and FYVE domain-containing protein 1) (BWF1)"
Q765H6,MGT5B_MOUSE,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase B (EC 2.4.1.-) (EC 2.4.1.155) (Alpha-mannoside beta-1,6-N-acetylglucosaminyltransferase B) (GlcNAc-T Vb) (GNT-Vb) (Mannoside acetylglucosaminyltransferase 5B) (N-acetylglucosaminyl-transferase Vb) (N-acetylglucosaminyltransferase IX) (GNT-IX)"
Q7TPH6,MYCB2_MOUSE,E3 ubiquitin-protein ligase MYCBP2 (EC 2.3.2.33) (Myc-binding protein 2) (Pam/highwire/rpm-1 protein) (Protein Magellan) (Protein associated with Myc)
Q7TQF7,AMPH_MOUSE,Amphiphysin
Q7TSK2,SEZ6_MOUSE,Seizure protein 6 (SEZ-6) (Brain-specific receptor-like protein C) (BSRP-C)
Q7TSY6,CELF4_MOUSE,CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)
Q80TG1,KANL1_MOUSE,KAT8 regulatory NSL complex subunit 1 (NSL complex protein NSL1) (Non-specific lethal 1 homolog)
Q80VC9,CAMP3_MOUSE,Calmodulin-regulated spectrin-associated protein 3 (Marshalin) (Protein Nezha)
Q80VP1,EPN1_MOUSE,Epsin-1 (EPS-15-interacting protein 1) (Intersectin-EH-binding protein 1) (Ibp1)
Q80Y98,DDHD2_MOUSE,"Triacylglycerol hydrolase DDHD2 (TAG hydrolase) (EC 3.1.1.3) (DDHD domain-containing protein 2) (Phospholipase DDHD2) (EC 3.1.1.-) (SAM, WWE and DDHD domain-containing protein 1) (Triglyceride hydrolase DDHD2) (Triglyceride lipase)"
Q80ZD8,AMGO1_MOUSE,Amphoterin-induced protein 1 (AMIGO-1) (Alivin-2)
Q810A7,DDX42_MOUSE,ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42)
